# Contoh glosarium cypy
# Format: <istilah asli> <TAB> <terjemahan> <TAB> <catatan opsional>
# Baris yang diawali # atau // diabaikan.
# Bisa juga pakai tanda "=" : Pellin=Pellin
#
# Glosarium menang atas semua aturan lain, termasuk aturan honorifik.
# Pakai ini untuk mengunci nama tokoh, jurus, gelar, dan nama tempat
# supaya tetap sama dari bab ke bab.

# --- nama tokoh ---
ペリン	Pellin	tokoh utama, jangan diterjemahkan
青木	Aoki	nama keluarga
先輩	senpai	pertahankan, jangan jadi "kakak kelas"

# --- tempat ---
青魔法塔	Menara Sihir Biru	markas utama
王都	Ibu Kota Kerajaan

# --- istilah khas ---
魔力	mana	jangan jadi "kekuatan sihir"
ギルド	Serikat
스킬	Skill	manhwa Korea
